"U.S. AMERICAN 
LIFT-SERVED 
Ragged,U.S. - New Hampshire,"1,250",,"2,286",250,100,Yes,,Pacific Group Resorts,2007,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$429,$429,NO,4/7,NO,$429,$529,No,9/2,$399,$699,N/A,Yes,"Unlimited Wisp, Powderhorn, Ragged, Wintergreen; 5 days each at Jay Peak and Mt. Washington Alpine Resort (BC)"
Red Hill,U.S. - New Hampshire,181,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,All-volunteer club
Storrs Hill,U.S. - New Hampshire,300,,,20,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$160,$170,N/A,Yes,*Member pass rates discounted; track operations via Facebook page.
Tenney,U.S. - New Hampshire,"1,400",,,110,N/A,Yes,,Independent,,,,,,"Indy, Uphill New England",,Yes,No,Yes,No,Yes,Yes,,$450,$450,NO,5/15,NO,$399,$549,No,11/1,$450,$450,N/A,Yes,
The Balsams,U.S. - New Hampshire,N/A,,,,N/A,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,"Last operated in 2011; current permits renewed through January 2030; goal is a 22-lift, 2,200-acre ski area"
Veterans Memorial,U.S. - New Hampshire,220,,,50,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$20,$20,N/A,Yes,"Season pass price is for an annual ""membership""; track operations via Facebook page."
Waterville Valley,U.S. - New Hampshire,"2,020",,,265,148,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,"$1,176","$1,176",10%,4/30,YES,"$1,140","$1,264",10% off (ENDED),10/11,"$1,036","$1,372",Yes,Yes,
Whaleback Mountain,U.S. - New Hampshire,700,,,85,110,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$225,$250,N/A,N/A,$200,$275,N/A,Yes,
Wildcat,U.S. - New Hampshire,"2,112",,,225,200,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
NH,,,,,3686,,,,,,,,,,,,26,4,20,10,30,30,,,,,,,,,,,,,,22,
NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Snow American Dream,U.S. - New Jersey,118,,,4,0,Yes,,Snow Partners,2019,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,Monthly subscription,Monthly subscription,N/A,N/A,N/A,N/A,N/A,Yes,
Campgaw,U.S. - New Jersey,274,,,23,45,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$289,$289,N/A,N/A,$359,$459,Yes,Yes,
Mountain Creek,U.S. - New Jersey,"1,040",,,167,65,Yes,,Snow Partners,2018,,Vernon Valley-Great Gorge,,,,,Yes,No,Yes,No,Yes,Yes,,$300,$300,NO,,YES,$279.99,N/A,N/A,N/A,$289.99,$499.99,N/A,Yes,
National Winter Activity Center,U.S. - New Jersey,620,,,36,65,Yes,,Independent,,,Hidden Valley,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private learning center for local children
NJ,,,,,230,,,,,,,,,,,,3,1,4,0,4,4,,,,,,,,,,,,,,3,
NEW MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Fire Resort,U.S. - New Mexico,"2,077",,,560,210,,,Independent,,320,,,,Powder Alliance,Powder Alliance 3,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,$935,N/A,N/A,$600,$900,N/A,No,View reciprocal partners here.
Cloudcroft,U.S. - New Mexico,700,,,74,120,,,Independent,,,Snow Canyon,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Pajarito,U.S. - New Mexico,"1,440",,,750,125,,,Mountain Capital Partners,2014,,,,,Power,Power/Select/Core U,Yes,No,Yes,No,Yes,Yes,,$299,$299,NO,N/A,YES,$299,$349,No,N/A,$299,$599,Yes,No,Access details here.
Red River,U.S. - New Mexico,"1,600",,,209,214,,,Independent,,135,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$569,$719,N/A,N/A,$515,$665,N/A,No,View reciprocal partners here.
Sandia Peak,U.S. - New Mexico,"1,700",,,300,125,,,Mountain Capital Partners,2023,,,,,Power,Power/Select/Core U,Yes,No,Yes,No,Yes,Yes,,$299,$299,NO,N/A,YES,$399,$349,No,N/A,$299,$599,Yes,No,Access details here.
Sipapu,U.S. - New Mexico,"1,055",,,205,190,,,Mountain Capital Partners,2000,,,,,Power,Power/Select/Core U,Yes,No,Yes,No,Yes,Yes,,$299,$299,NO,N/A,YES,$299,$349,No,N/A,$299,$599,Yes,No,Access details here.
Ski Apache,U.S. - New Mexico,"1,900",,,750,180,,,Independent,,200,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$450,$950,N/A,N/A,$450,"$1,050",N/A,No,
Ski Santa Fe,U.S. - New Mexico,"1,750",,,660,225,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$799,$949,N/A,9/30,$759,$879,N/A,No,
Taos Ski Valley,U.S. - New Mexico,"3,281",,,"1,294",300,Yes,,Independent,,"1,000",,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,No,Yes,No,Yes,Yes,,"$1,475","$1,475",NO,N/A,YES,"$1,395","$1,575",N/A,N/A,"$1,285","$1,575",Yes,Yes,Upgrade to Kachina Plus Pass for Ikon Base Pass add-on
NM,,,,,"4,802",,,,,,,,,,,,9,0,9,0,9,9,,,,,,,,,,,,,,1,
NEW YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beartown,U.S. - New York,150,,,32,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$280,$280,N/A,No,Track operations via Facebook page.
Belleayre,U.S. - New York,"1,404",,,171,141,Yes,,New York State,1949,,,,,,,Yes,No,Yes,No,Yes,Yes,,$729,$729,$699,4/30,YES,$689,$689,$669,8/7,$669,$789,Yes,Yes,"Upgrade to Ski3 Pass for access to Gore, Whiteface."
Big Tupper,U.S. - New York,"1,000",,,,90,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,New owners purchased in 2024 & intend to re-open.
Brantling,U.S. - New York,250,,,36,100,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$360,$396,N/A,Yes,Track operations via Facebook page.
Bristol,U.S. - New York,"1,200",,,138,130,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$895,$960,No,9/15,$895,$995,No,Yes,
Buffalo Ski Center,U.S. - New York,500,,,300,N/A,,,Independent,,,"[Sitzmarker Ski Club, Ski Tamarack]",,,,,Midweek,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Membership application required.
Camillus,U.S. - New York,N/A,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Cazenovia Ski Club,U.S. - New York,460,,,25,99,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Membership application required.
Chestnut Ridge,U.S. - New York,55,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Does not offer season pass - free always for everyone
Cockaigne ,U.S. - New York,430,,,,175,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,New owners appear to have given up.
Double H Ranch,U.S. - New York,N/A,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Private camp supporting children dealing with life-threatening illnesses
Dry Hill,U.S. - New York,300,,,42,125,Yes,,Independent,,,,,,Indy Allied,"""25% weekend/holiday, 50% weekday discount""",Yes,No,Yes,No,Yes,Yes,,$345*,$345*,NO,10/31,YES,N/A,N/A,N/A,N/A,$325,$360,N/A,Yes,*Cash price; online costs more
Dynamite Hill,U.S. - New York,65,,,8,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Does not offer season pass - free always for everyone; track operations via Facebook page.
Emery Park,U.S. - New York,N/A,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Does not offer season pass - free always for everyone
Four Seasons,U.S. - New York,130,,,25,125,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$180,$200,N/A,Yes,Track operations via Facebook page.
Gore,U.S. - New York,"2,537",,,439,150,Yes,,New York State,1934,,[North Creek Ski Bowl],,,,,Yes,No,Yes,No,Yes,Yes,,$899,$899,$849,4/30,YES,$879,$879,$829,8/7,$859,"$1,019",Yes,Yes,"Unlimited access: Whiteface, Gore, Belleayre"
Greek Peak,U.S. - New York,952,,,220,122,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$495,$695,N/A,N/A,$565,$955,N/A,Yes,
Hickory,U.S. - New York,"1,200",,,225,N/A,No,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,No,Yes,Yes,Yes,,,,,,,$399,$399,N/A,N/A,N/A,N/A,N/A,Yes,
Holiday Mountain,U.S. - New York,400,,,37,90,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$390,$530,N/A,Yes,
Holiday Valley,U.S. - New York,750,,,290,180,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,"$1,091","$1,124",No,N/A,"$1,049","$1,091",Yes,Yes,
Holimont,U.S. - New York,700,,,135,180,Yes,,Independent,,,,,,,,Midweek,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Membership required.
Hunt Hollow,U.S. - New York,825,,,80,130,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Midweek,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,Yes,Membership required.
Hunter,U.S. - New York,"1,600",,,320,120,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local U | NE V UB | NE M UMB | Day All/32,Yes,No,Yes,No,Yes,Yes,,$783,$783,NO,N/A,NO,$731,$746,No,N/A,$676,$795,No,Yes,Access details here
Kissing Bridge,U.S. - New York,550,,,,182,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$349,$349,NO,3/31,YES,$475,$800,No,N/A,$475,$800,No,Yes,
Labrador,U.S. - New York,700,,,250,125,Yes,,Peter Harris,2014,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$599,No,N/A,$569,$671,No,Yes,Unlimited access: Labrador and Song
Maple Ski Ridge,U.S. - New York,270,,,60,60,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$349,$349,NO,N/A,yes,N/A,N/A,N/A,N/A,$299,$399,N/A,Yes,
McCauley,U.S. - New York,633,,,75,180,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$259,$305,N/A,Yes,
Mount Peter,U.S. - New York,450,,,60,50,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$399,$399,NO,5/1,NO,$399,$399,No,OS-Sept,$399,$499,No,Yes,
Mount Pisgah,U.S. - New York,329,,,15,60,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$225*,$250*,N/A,No,*Residents pass is discounted. Track operations via Facebook page
Newcomb,U.S. - New York,161,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Does not offer season pass - free always for everyone. Track operations via Facebook page.
Northampton,U.S. - New York,N/A,,,,N/A,,,Schoonover Family,N/A,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$119,$119,N/A,No,Pass also good at Powder Mills Park. Track operations via Facebook page
Oak Mountain,U.S. - New York,650,,,100,101,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$440,$465,N/A,7/31,$420,$440,N/A,Yes,
Peek’n Peak,U.S. - New York,400,,,105,200,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$546,$572,N/A,N/A,$546,$572,Yes,Yes,
Plattekill,U.S. - New York,"1,100",,,119,175,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$779,$799,N/A,10/15,$779,$799,N/A,Yes,View reciprocal partners here.
Powder Mills,U.S. - New York,N/A,,,,N/A,,,Schoonover Family,N/A,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$119,$119,N/A,No,
Ridin' Hy Ranch,U.S. - New York,100,,,10,98,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski hill for Ridin' Hy Ranch guests
Rocking Horse Ranch,U.S. - New York,150,,,10,30,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,Summer,Private ski hill for Rocking Horse Ranch guests
Royal Mountain,U.S. - New York,550,,,40,90,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$400,$400,No,11/14,$400,$450,No,Yes,
Skaneateles,U.S. - New York,350,,,33,N/A,,,Independent,,,,,,Indy Allied,"""25% weekend/holiday, 50% weekday discount""",Yes,No,No,Yes,Yes,Yes,,,,,,,$275,$275,N/A,N/A,$275,$275,N/A,No,
Ski Venture,U.S. - New York,100,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski club
Snow Ridge,U.S. - New York,500,,,130,230,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$420,$460,No,N/A,$410,$500,Yes,Yes,View reciprocal partners here.
Song Mountain,U.S. - New York,700,,,100,125,Yes,,Peter Harris,2000,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$599,No,N/A,$569,$671,No,Yes,Unlimited access: Labrador and Song
Swain,U.S. - New York,650,,,130,120,Yes,,Schoonover Family,2009,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$499,$499,NO,3/9,,$499,$765,No,N/A,$475,$765,No,Yes,
Thunder Ridge,U.S. - New York,600,,,100,60,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$735,$735,N/A,Yes,
Titus,U.S. - New York,"1,250",,,380,150,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$549,$549,NO,4/29,YES,$529,$579,No,N/A,$529,$629,No,Yes,
Toggenburg,U.S. - New York,520,,,,160,,,Peter Harris,2021,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Purchased by Harris and shuttered in 2021; New York AG is seeking to force sale
Val Bialis,U.S. - New York,150,,,,N/A,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Local politician secured $2M in state funding to renovate ski area in 2023
Victor Constant,U.S. - New York,475,,,,39,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$460*,$460*,N/A,Yes,*Discounted rates available for active-duty military
Villa Roma,U.S. - New York,190,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Attached to Villa Roma resort; no season passes but day passes available to the public
West Mountain,U.S. - New York,"1,000",,,124,80,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$699,No,9/30,$599,$899,Yes,Yes,
Whiteface,U.S. - New York,"3,430",,,288,190,Yes,,New York State,1958,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$879,$879,$829,8/7,$859,"$1,019",Yes,Yes,"Unlimited access: Whiteface, Gore, Belleayre"
Willard,U.S. - New York,505,,,85,80,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$415,$415,No,5/31,$415,$600,No,Yes,
Windham,U.S. - New York,"1,600",,,285,100,Yes,,Independent,,,,,,Left Ikon,,Yes,No,Yes,No,Yes,Yes,,,,,,,"$1,450","$2,000",N/A,N/A,"$1,399","$1,899",N/A,Yes,Upgrade to Ultra Pass for Ikon Base Pass
Woods Valley,U.S. - New York,500,,,25,180,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$500,$500,N/A,N/A,$500,$550,N/A,Yes,
NY,,,,,5047,,,,,,,,,,,,42,8,34,16,50,50,,,,,,,,,,,,,,39,
NORTH CAROLINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalchian Ski Mountain,U.S. - North Carolina,365,,,27,27,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$620,$620,No,N/A,$575,$595,Yes,No,
Beech Mountain,U.S. - North Carolina,831,,,95,84,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$590,$590,N/A,No,View reciprocal partners here.
Cataloochee,U.S. - North Carolina,740,,,50,24,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$747,$747,N/A,N/A,$561,$790,N/A,No,
Hatley Pointe,U.S. - North Carolina,700,,,70,65,Yes,,Independent,,,Wolf Ridge,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,No,Yes,,,,,,,$750,$750,N/A,N/A,$750,$750,N/A,No,
Sapphire Valley,U.S. - North Carolina,250,,,8,24,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Sugar Mountain,U.S. - North Carolina,"1,200",,,115,70,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$740,$740,N/A,6/30,$725,"$1,200",N/A,No,
NC,,,,,365,,,,,,,,,,,,6,0,6,0,5,6,,,,,,,,,,,,,,0,
NORTH DAKOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottineau Winter Park,U.S. - North Dakota,200,,,40,18,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$320.25,$424.25,N/A,No,
Frost Fire,U.S. - North Dakota,350,,,30,35,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$399,$399,No,N/A,$425,$499,No,No,
Huff Hills,U.S. - North Dakota,450,,,70,40,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$290,$390,N/A,No,
Thrill Hills,U.S. - North Dakota,290,,,30,35,Yes,,Independent,,,Bear's Den,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$400,$400,N/A,No,Track operations via Facebook page.
ND,,,,,170,,,,,,,,,,,,4,0,4,0,4,4,,,,,,,,,,,,,,0,
OHIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Valley,U.S. - Ohio,264,,,72,120,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$374,$374,NO,N/A,NO,$349,$365,No,N/A,$323,$359,No,No,Access details here
Big Creek Ski Area,U.S. - Ohio,164,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area
Boston Mills,U.S. - Ohio,264,,,40,54,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$374,$374,NO,N/A,NO,$349,$365,No,N/A,$323,$359,No,Summer,Access details here
Brandywine,U.S. - Ohio,240,,,40,54,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$374,$374,NO,N/A,NO,$349,$365,No,N/A,$323,$359,No,Summer,Access details here
Mad River,U.S. - Ohio,300,,,144,36,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$374,$374,NO,N/A,NO,$349,$365,No,N/A,$323,$359,No,No,Access details here
Snow Trails,U.S. - Ohio,300,,,80,52,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,OS-Sept.,$510,$510,N/A,No,
OH,,,,,376,,,,,,,,,,,,5,1,5,1,6,6,,,,,,,,,,,,,,0,
OREGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lakes,U.S. - Oregon,900,,,"1,100",300,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$310,$310,N/A,5/31,$310,$525,N/A,No,
Cooper Spur,U.S. - Oregon,350,,,50,100,,,Drake Family,2001,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$259,$259,N/A,No,
Ferguson Ridge,U.S. - Oregon,640,,,170,300,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,*Five-year membership - can pay all at once or $50 a year for 5 years; Volunteer-run operation - supplement dues with volunteer time; Track operations via Facebook page.
Hoodoo,U.S. - Oregon,"1,035",,,806,350,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,Yes - in-person at ticket office through 12/1,OS-Fall,$499,$699,N/A,Yes,
Mount Ashland,U.S. - Oregon,"1,150",,,240,300,,,Independent,,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,$524,$524,NO,4/30,NO,$499,$599,N/A,10/31,$424,$624,N/A,No,Extensive reciprocals - current list here
Mount Bachelor,U.S. - Oregon,"3,365",,,"4,323",462,,,Powdr,2001,"3,200",,https://skimap.org/skiareas/view/270,,Ikon,Ikon 7 | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,,,,,,"$1,249","$1,349","$1,199",N/A,"$1,149","$1,529",N/A,Yes,Outplay 365 upgrade includes Ikon Base Pass
Mount Hood Meadows,U.S. - Oregon,"2,777",,,"2,150",430,,,Drake Family,1966,"2,150",,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$929,$999,No,N/A,$849,"$1,159",N/A,Yes,
Mount Hood Skibowl,U.S. - Oregon,"1,500",,,960,300,,,Independent,,210,,,,Powder Alliance,Powder Alliance 3B,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$589,$589,N/A,No,
